epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,61760.8,1.9538,6.78784,1.88738,0.45176,0.44443,0.39743,0.16644,2.2691,10.3537,2.16694,0.000456318,0.000456318,0.000456318
85,62327.6,1.96118,6.81647,1.8908,0.43523,0.44071,0.40144,0.16825,2.27211,10.3351,2.17127,0.000450864,0.000450864,0.000450864
86,62798,1.9424,6.74912,1.86457,0.48977,0.38167,0.411,0.17215,2.26172,10.7125,2.15703,0.00044541,0.00044541,0.00044541
87,64664.9,1.95101,6.79516,1.88759,0.47434,0.42482,0.4077,0.16754,2.26186,10.6336,2.16672,0.000439956,0.000439956,0.000439956
88,65262.6,1.93542,6.57322,1.85906,0.48521,0.43498,0.39939,0.17496,2.29544,9.62907,2.19364,0.000434502,0.000434502,0.000434502
89,65933,1.93809,6.5902,1.87737,0.46306,0.43523,0.40702,0.17043,2.2722,11.0242,2.17839,0.000429048,0.000429048,0.000429048
90,66612.2,1.94621,6.5453,1.86297,0.48566,0.43255,0.42736,0.1844,2.26751,10.9964,2.17025,0.000423594,0.000423594,0.000423594
91,67226,1.93677,6.55859,1.85425,0.43368,0.43619,0.40528,0.17404,2.28231,10.4558,2.17593,0.00041814,0.00041814,0.00041814
92,67893.3,1.91985,6.43165,1.871,0.46529,0.40669,0.39028,0.16214,2.28615,9.55284,2.19007,0.000412686,0.000412686,0.000412686
93,68557.7,1.92174,6.39056,1.8539,0.47929,0.41913,0.39013,0.15917,2.30255,10.0734,2.20192,0.000407232,0.000407232,0.000407232
94,69230.2,1.92877,6.4727,1.86078,0.45254,0.42354,0.39352,0.15726,2.29158,10.933,2.19548,0.000401778,0.000401778,0.000401778
95,69904.8,1.91936,6.47346,1.86496,0.45723,0.42073,0.39057,0.16399,2.2867,11.6932,2.20385,0.000396324,0.000396324,0.000396324
96,70571.6,1.90878,6.39467,1.85772,0.45271,0.42821,0.3987,0.16016,2.29759,10.3961,2.20971,0.00039087,0.00039087,0.00039087
97,71255.5,1.92083,6.26685,1.86051,0.45509,0.42117,0.39481,0.1648,2.29235,10.0812,2.19996,0.000385416,0.000385416,0.000385416
98,71933.9,1.91416,6.30081,1.85677,0.4783,0.42045,0.3927,0.15832,2.29345,10.0407,2.20499,0.000379962,0.000379962,0.000379962
99,72672.9,1.91092,6.22622,1.84807,0.46887,0.42026,0.39135,0.15422,2.3287,9.4085,2.2268,0.000374508,0.000374508,0.000374508
100,73453.9,1.90344,6.15404,1.84505,0.42634,0.43318,0.37349,0.15563,2.30791,10.1671,2.21335,0.000369054,0.000369054,0.000369054
101,74151.8,1.89828,6.15919,1.83456,0.44308,0.43073,0.37674,0.15493,2.31991,9.78288,2.22424,0.0003636,0.0003636,0.0003636
102,74847.8,1.90526,6.19653,1.84932,0.45205,0.44256,0.39268,0.15999,2.30734,10.4621,2.21604,0.000358146,0.000358146,0.000358146
103,75532.6,1.89903,6.09824,1.84928,0.44069,0.44761,0.39174,0.16181,2.30652,9.99416,2.2192,0.000352692,0.000352692,0.000352692
104,76206.2,1.88187,6.03251,1.82733,0.49323,0.43637,0.40038,0.16732,2.3171,10.6177,2.22218,0.000347238,0.000347238,0.000347238
105,76966.9,1.88554,6.0069,1.84382,0.50617,0.40741,0.39515,0.16851,2.31696,11.2341,2.23401,0.000341784,0.000341784,0.000341784
106,77739.6,1.8777,5.97856,1.81868,0.53955,0.39746,0.41725,0.17475,2.31011,9.12701,2.23147,0.00033633,0.00033633,0.00033633
107,78468.8,1.89099,6.00646,1.82428,0.46583,0.42687,0.39914,0.16217,2.32059,10.1443,2.20905,0.000330876,0.000330876,0.000330876
108,79197.8,1.86816,5.84699,1.81564,0.49853,0.41769,0.41078,0.17349,2.32391,10.5694,2.2355,0.000325422,0.000325422,0.000325422
109,79880.5,1.84511,5.74045,1.79721,0.47854,0.4471,0.42161,0.17647,2.34891,10.7943,2.24362,0.000319968,0.000319968,0.000319968
110,80558,1.88702,5.98542,1.8234,0.50841,0.44129,0.43171,0.18217,2.33314,10.0635,2.24379,0.000314514,0.000314514,0.000314514
111,81231.4,1.85864,5.72736,1.80139,0.46219,0.44598,0.40402,0.16989,2.33516,10.1971,2.2407,0.00030906,0.00030906,0.00030906
112,81896.2,1.87359,5.88282,1.81917,0.48567,0.4153,0.40992,0.17281,2.34378,10.4536,2.25254,0.000303606,0.000303606,0.000303606
113,82561.7,1.85512,5.77248,1.79979,0.5076,0.43525,0.40877,0.1703,2.34815,9.47443,2.24368,0.000298152,0.000298152,0.000298152
114,83228.1,1.85361,5.57151,1.79087,0.47405,0.45657,0.42328,0.17852,2.32112,9.98745,2.24126,0.000292698,0.000292698,0.000292698
115,85085.7,1.86502,5.7416,1.79308,0.51284,0.40182,0.41584,0.17718,2.3164,10.296,2.21159,0.000287244,0.000287244,0.000287244
116,85662,1.84577,5.61743,1.78748,0.49833,0.44621,0.41635,0.17687,2.34679,9.98575,2.24196,0.00028179,0.00028179,0.00028179
117,86325.3,1.84437,5.58522,1.77468,0.5082,0.41341,0.39781,0.17142,2.3462,10.1475,2.23599,0.000276336,0.000276336,0.000276336
